mjdmean mag dmag band
55370.765625 16.367563247680664 0.08483193069696426 1
55370.765625 16.09942054748535 0.23770277202129364 2
55550.4375 16.306726455688477 0.08610895276069641 1
56647.99609375 16.481225967407227 0.09465836733579636 1
56835.640625 16.41573715209961 0.09952089935541153 1
56835.640625 15.681873321533203 0.19633008539676666 2
57012.37890625 16.393421173095703 0.0909203514456749 1
57197.44140625 16.507122039794922 0.09614789485931396 1
57371.55859375 16.20722007751465 0.07689286768436432 1
57371.55859375 16.325504302978516 0.3518933653831482 2
57561.65625 16.489852905273438 0.10560908168554306 1
57561.65625 15.862814903259277 0.246511310338974 2
57732.14453125 16.402881622314453 0.09119975566864014 1
57928.6953125 16.507051467895508 0.1041773110628128 1
57928.6953125 15.981319427490234 0.2780757248401642 2
58094.1640625 16.574081420898438 0.10877956449985504 1
58292.828125 16.40228271484375 0.09398602694272995 1
58292.828125 15.98802661895752 0.28210434317588806 2
58454.75390625 16.404817581176758 0.08797337859869003 1
58658.578125 16.60986328125 0.09650559723377228 1
58820.578125 16.45665740966797 0.09606803208589554 1
59024.203125 16.37200355529785 0.10413285344839096 1
59186.15234375 16.511573791503906 0.11269643902778625 1
