|source_label|target_dist|        x|        y|      flux|          dx|          dy|     dflux|        qf|     rchi2|   fracflux|   fluxlbs|  dfluxlbs|     fwhm|  spread_model|dspread_model|   fluxiso|          xiso|          yiso|        sky|       ra|       dec|coadd_id|band|          unwise_detid|  nm|primary|flags_unwise|flags_info|epoch|forward|   mjdmin|   mjdmax|  mjdmean|       mag|        dmag|flags_unwise_bits|                      flags_unwise_descr|flags_info_bits|flags_info_descr|
|        char|      float|    float|    float|     float|       float|       float|     float|     float|     float|      float|     float|     float|    float|         float|        float|     float|         float|         float|      float|    float|     float|    char|long|                  char|long|   long|        long|      long| long|   long|    float|    float|    float|     float|       float|             char|                                    char|           char|            char|
|            |     arcsec|      pix|      pix|      nMgy|         pix|         pix|      nMgy|          |          |           |      nMgy|      nMgy|      pix|              |             |          |              |              |       nMgy|      deg|       deg|        |    |                      |    |       |            |          |     |       |        d|        d|        d|       mag|         mag|                 |                                        |               |                |
|        null|       null|     null|     null|      null|        null|        null|      null|      null|      null|       null|      null|      null|     null|          null|         null|      null|          null|          null|       null|     null|      null|    null|null|                  null|null|   null|        null|      null| null|   null|     null|     null|     null|      null|        null|             null|                                    null|           null|            null|
         1.11   47.664703 1346.7448 1642.9385   804.6089   0.04887114   0.04662837  23.007204        1.0  0.8084508   0.6280227  803.13336  23.453959 2.4855154   0.0018975735  0.0010867565  804.57214   -0.010759723    0.013018761    9.077349 140.19963 0.24691316 1406p000    1 1406p000w1o0020473e000   11       1           33          0     0       0 55323.203 55326.312 55324.758  15.236038  0.031054297               0,5 bright star core and wings,circular halo                                  
         1.12   48.926884 1350.4393 1655.0856     281.49   0.14027146   0.13427378  22.750364        1.0  1.1028028  0.44693857  288.70868   23.20348  2.487526  -0.0011566877   0.003003379   281.4612    0.017258488    0.016357176     9.43873 140.19035 0.24973491 1406p000    1 1406p000w1o0035592e000   11       1           33          0     0       0 55323.203 55326.312 55324.758  16.376343   0.08794235               0,5 bright star core and wings,circular halo                                  
         1.13   50.296577 1346.9503 1641.6377  275.37607   0.13856182   0.13497339  22.374123 0.99999994 0.78918236  0.26027858  272.35373  22.818733 2.4888015  -0.0024326444   0.003011954  275.39896    -0.10077367    0.045822132    9.057391 140.20062  0.2470702 1406p000    1 1406p000w1o0042434e000   11       1           33          0     0       0 55323.203 55326.312 55324.758  16.400185  0.088410206               0,5 bright star core and wings,circular halo                                  
         1.14   51.117508 1339.0863   1635.69  123.08709   0.30367926    0.2962555  21.619434        1.0  0.5562409    0.279991  128.10672  22.050617 2.4880328  -0.0055027604  0.0064895437 123.087875   -0.081258565    0.018092478    8.237553 140.20517 0.24106343 1406p000    1 1406p000w1o0042404e000   12       1           33          0     0       0 55323.203 55326.312 55324.758   17.27447   0.19270064               0,5 bright star core and wings,circular halo                                  
         1.15    51.61606 1331.2924  1634.452   297.3581   0.12745711  0.122021265  21.892485 0.99999994 0.48871568  0.45523822   302.4143  22.327291 2.4921944  -0.0021116734  0.0026988597  297.39096    0.010969548     0.00981773    8.025711 140.20612 0.23511003 1406p000    1 1406p000w1o0035514e000   12       1           33          0     0       0 55323.203 55326.312 55324.758  16.316801   0.08008039               0,5 bright star core and wings,circular halo                                  
         1.16   53.246674 1343.9579 1668.9576  172.10684    0.2270285   0.21751462  22.596972        1.0  1.4849846  0.27314153  177.33603  23.036695 2.4834664   -0.004415393   0.004961636   172.3545     -0.4129066    -0.48257193   10.700308 140.17975 0.24478365 1406p000    1 1406p000w1o0035561e000   11       1           33          0     0       0 55323.203 55326.312 55324.758  16.910505   0.14338073               0,5 bright star core and wings,circular halo                                  
         1.17   56.322975 1350.9895 1643.8468  132.62178   0.29346395    0.2812863  22.481527        1.0 0.46119848  0.29452047  130.80392  22.919983  2.484669    0.009411216   0.006525718  132.60855   0.0100410525  -0.0006066554    9.390131 140.19893 0.25015542 1406p000    1 1406p000w1o0042449e000   11       1           33          0     0       0 55323.203 55326.312 55324.758  17.193462   0.18584372               0,5 bright star core and wings,circular halo                                  
         1.18   56.906498 1318.0945 1638.5554    979.428   0.03915993  0.037646472  22.589855  0.9999999  0.6948034  0.65268856    970.336   23.03321 2.4900362  0.00041866302   0.000859463   979.2877   0.0068202647   -0.015476889   7.5137024 140.20297 0.22502872 1406p000    1 1406p000w1o0020065e000   11       1           33          0     0       0 55323.203 55326.312 55324.758  15.022569  0.025046213               0,5 bright star core and wings,circular halo                                  
         1.19    56.99496 1346.7256   1637.86   630.5811  0.060376808  0.057307057   21.95765        1.0   1.760213  0.67579037  628.83484  22.398788 2.4866803    0.001321733  0.0012993503  630.60895   -0.011017776   -0.052143935    8.912186  140.2035 0.24689859 1406p000    1 1406p000w1o0020472e000   12       1           33          0     0       0 55323.203 55326.312 55324.758  15.500648  0.037822016               0,5 bright star core and wings,circular halo                                  
         1.20    62.72326 1350.0488 1638.2987 105.736275   0.35680148   0.33998945  21.651068        1.0  0.4667914  0.25439677   99.39038   22.08818 2.4876199    0.011107087   0.007907761  105.66715    0.055395417     0.03286886   9.2020855 140.20317 0.24943702 1406p000    1 1406p000w1o0045827e000   12       1           33          0     0       0 55323.203 55326.312 55324.758   17.43944   0.22550838               0,5 bright star core and wings,circular halo                                  
         1.21    62.98667 1314.6978 1667.2642   818.1431  0.049360566  0.047349922  23.449614        1.0   3.593069   0.4104321  791.92194   23.91154  2.489385    0.008096278  0.0010855643   818.1313  -0.0074813897    0.007256096   7.9525743 140.18105 0.22243339 1406p000    1 1406p000w1o0020025e000   11       1           33          0     0       0 55323.203 55326.312 55324.758  15.217927  0.031127853               0,5 bright star core and wings,circular halo                                  
         1.22    69.83612 1314.0498 1635.9824   305.7955   0.12328564  0.117748335  21.773163        1.0  1.0194037  0.36375818  295.97006  22.210161 2.4833958   0.0022571683  0.0026698315  305.79443    0.020422619    -0.02581284    6.760441 140.20494 0.22193924 1406p000    1 1406p000w1o0035468e000   12       1           33          0     0       0 55323.203 55326.312 55324.758  16.286423   0.07743731               0,5 bright star core and wings,circular halo                                  
          2.1  0.41196924 1332.8552 1653.0591   514.6584    0.2868774    0.2700754  79.742966        1.0 0.57823634   0.3418902   526.7534   81.61729 2.7354448  0.00033277273  0.0060601467   514.6524    0.015249403    0.027446901   -6.701078  140.1919 0.23630336 1406p000    2 1406p000w2o0036318e000   11       1           33          0     0       0 55323.203 55326.312 55324.758  15.721202   0.16959377               0,5 bright star core and wings,circular halo                                  
          2.2   10.216937 1335.1484 1650.3282   288.6515    0.4976883    0.4760751  78.385216  1.0000001 0.28831932  0.23978028   322.1746   80.27448 2.7386749     0.00895375   0.010706625  288.63324  -0.0059474036   0.0019897895  -4.1600323 140.19398 0.23805514 1406p000    2 1406p000w2o0045864e000   11       1           33          0     0       0 55323.203 55326.312 55324.758  16.349066   0.30242488               0,5 bright star core and wings,circular halo                                  
          2.3    24.40742 1325.7935  1647.654  303.13858   0.46096614   0.44085547   75.71134  0.9999999 0.30240598  0.21989197  308.55084   77.59003 2.7393262  -0.0039120913   0.009566984   303.5251    -0.38468918      0.3413552   -9.025144 140.19603 0.23090939 1406p000    2 1406p000w2o0036276e000   12       1           33          0     0       0 55323.203 55326.312 55324.758  16.295897    0.2770309               0,5 bright star core and wings,circular halo                                  
          2.4   25.699383 1326.5569 1660.1649  508.37363     0.288434   0.27751347  79.402504        1.0  0.7254676  0.26066655  509.44498   81.28808 2.7385073    0.007605195   0.006074797  508.37604  -0.0076516424    0.003581977  -13.875917 140.18648 0.23149218 1406p000    2 1406p000w2o0051066e000   11       1           33          0     0       0 55323.203 55326.312 55324.758  15.734543   0.17097984               0,5 bright star core and wings,circular halo                                  
          2.5    27.86207 1323.8722 1658.0485  923.37555    0.1589417   0.15068959   80.57589  1.0000001 0.28383434  0.39096528  934.26483   82.49729 2.7352884   0.0022580624  0.0034003821   923.3772  -0.0012181707    0.011236853 -15.0479765 140.18808 0.22944158 1406p000    2 1406p000w2o0045803e000   10       1           33          0     0       0 55323.203 55326.312 55324.758  15.086555   0.09498542               0,5 bright star core and wings,circular halo                                  
          2.6   28.515572 1342.3068 1657.1934   4888.077  0.030799942  0.029102769   83.37017        1.0  0.6769551   0.8602987  4893.0337   85.33819   2.73805  -0.0010240674    0.00067148  4888.4614     0.01008199    0.005346561  -2.1744106 140.18874 0.24352275 1406p000    2 1406p000w2o0019188e000   11       1           33          0     0       0 55323.203 55326.312 55324.758  13.277155  0.018519906               0,5 bright star core and wings,circular halo                                  
          2.7    31.68289 1340.1852 1661.9689  241.82492    0.6022541    0.5892454  79.696045        1.0  0.3579848    0.195186   255.3163   81.59065 2.7356203   0.0044664145  0.0129315145  241.84962    -0.03203965     -0.0392016  -4.8088765 140.18509 0.24190207 1406p000    2 1406p000w2o0051086e000   11       1           33          0     0       0 55323.203 55326.312 55324.758  16.541246   0.37168616               0,5 bright star core and wings,circular halo                                  
          2.8    36.08511 1345.4084 1649.7056  326.45486   0.44909036   0.42902467   79.37892  1.0000001 0.63325125  0.33057702   333.2443  81.266365 2.7401524    0.015526235   0.010009208  326.46036    0.007584487   -0.003095493   1.7581702 140.19446 0.24589221 1406p000    2 1406p000w2o0036383e000   11       1           32          0     0       0 55323.203 55326.312 55324.758  16.215443    0.2693972                 5                            circular halo                                  
          2.9   38.336945  1321.639 1661.5862  494.31012    0.3014368    0.2855295   80.48263        1.0 0.64396226  0.22836801  468.98734   82.39449 2.7412512   0.0036343932   0.006196313  493.86523   -0.079159304     0.01828377  -17.781334 140.18538 0.22773562 1406p000    2 1406p000w2o0045791e000   10       1           33          0     0       0 55323.203 55326.312 55324.758  15.765001   0.17836492               0,5 bright star core and wings,circular halo                                  
         2.10   47.120224 1348.5773 1646.5984  322.00616    0.4533712   0.43239465   79.36532        1.0 0.43377724  0.34262273  317.67682   81.25984  2.741487    0.017181814  0.0102966335  322.07803   -0.030836463   -0.018035345   4.4817176 140.19684 0.24831277 1406p000    2 1406p000w2o0045940e000   11       1           32          0     0       0 55323.203 55326.312 55324.758   16.23034    0.2732283                 5                            circular halo                                  
         2.11   48.660168 1346.7963 1642.4031  1112.3816    0.1283858   0.12267197   78.12859        1.0  0.6245063  0.66239434  1090.3368   80.02181 2.7399101  0.00087195635  0.0027264296  1112.4045   -0.010259528    0.006578563    5.120645 140.20004 0.24695244 1406p000    2 1406p000w2o0019260e000   12       1           32          0     0       0 55323.203 55326.312 55324.758  14.884365   0.07638285                 5                            circular halo                                  
         2.12    48.99524 1349.0497 1660.3643  300.80212   0.48302975   0.46554986   79.51323        1.0  0.4438383   0.2924529  308.18262   81.43343  2.738649    0.003419578   0.010199599   300.8755   -0.015316213    0.037879664  0.84731233 140.18633 0.24867325 1406p000    2 1406p000w2o0045941e000   11       1           32          0     0       0 55323.203 55326.312 55324.758  16.304298   0.29398033                 5                            circular halo                                  
         2.13   49.142902 1350.4491 1655.6442  319.91696   0.45897567   0.43649763   79.08489        1.0  0.2862315  0.30386326  312.89615   81.01126 2.7411077   -0.002392292   0.009351205    319.831    0.037261076    -0.03908564   2.5056124 140.18993 0.24974237 1406p000    2 1406p000w2o0045944e000   11       1           32          0     0       0 55323.203 55326.312 55324.758  16.237408   0.27407578                 5                            circular halo                                  
         2.14    50.44252 1331.8055 1634.8464  389.56424   0.35721344   0.34113115  75.453964        1.0  0.5390825   0.3706341  390.35092   77.28375 2.7366138    0.001623869  0.0074682087  389.55655   -0.023047058    0.013341997 -0.62638235 140.20581 0.23550199 1406p000    2 1406p000w2o0036316e000   12       1           32          0     0       0 55323.203 55326.312 55324.758  16.023552   0.21298473                 5                            circular halo                                  
         2.15     52.4605 1344.1602 1668.4569  231.89027    0.6210073    0.5960043   78.42623 0.99999994   0.711173  0.19791374  232.24048     80.324 2.7399242   -0.020781994   0.014628642   231.8796    -0.20989673      0.2958963  -2.6224277 140.18013 0.24493815 1406p000    2 1406p000w2o0051095e000   11       1           33          0     0       0 55323.203 55326.312 55324.758  16.586794   0.38224778               0,5 bright star core and wings,circular halo                                  
         2.16   55.910625 1346.1515 1637.8754  593.85297   0.23484899    0.2235456   75.59197        1.0 0.46142745   0.5146047    569.854   77.43759 2.7359807   0.0046463013  0.0049686506   593.8442   0.0033862065    -0.01604608    5.655562 140.20349 0.24646007 1406p000    2 1406p000w2o0036391e000   12       1           32          0     0       0 55323.203 55326.312 55324.758  15.565803   0.13895793                 5                            circular halo                                  
         2.17    57.54428 1317.8408 1638.4818   971.0859   0.14431053   0.13826959    76.1594        1.0   0.653238  0.49637315    936.872   78.00432 2.7399912    0.008475542  0.0030578289  971.06964  -0.0010803356    0.010340232  -10.566189 140.20303 0.22483498 1406p000    2 1406p000w2o0036242e000   12       1           33          0     0       0 55323.203 55326.312 55324.758  15.031856  0.085326314               0,5 bright star core and wings,circular halo                                  
         2.18   60.266647 1349.1469 1638.6239  342.86353   0.40997517   0.38805825  75.785034  1.0000001 0.46984845  0.37003064  314.79492  77.648994  2.739226    0.010024369  0.0087475935  342.71094    0.026268033     -0.0767987    6.543488 140.20293 0.24874805 1406p000    2 1406p000w2o0045939e000   12       1           32          0     0       0 55323.203 55326.312 55324.758  16.162197   0.24401335                 5                            circular halo                                  
         2.19    62.96027  1314.772 1667.3433  1182.4292   0.12561934   0.11991606  80.514175        1.0  0.6974549  0.33553097  1120.3153   82.45421  2.739473    0.004761219   0.002629997  1182.3635  -0.0057686786    0.008675831  -27.436544 140.18098 0.22249012 1406p000    2 1406p000w2o0045754e000   11       1           33          0     0       0 55323.203 55326.312 55324.758  14.818062  0.074044704               0,5 bright star core and wings,circular halo                                  
         2.20   70.652695 1313.7585 1635.8608  484.45795   0.29229873   0.27395436  75.862335        1.0   0.387026  0.32439974  422.59967   77.70293 2.7368393    0.005515635   0.006100691  484.43265  -0.0049895304  -0.0068469355  -13.254662 140.20503 0.22171676 1406p000    2 1406p000w2o0036226e000   12       1           33          0     0       0 55323.203 55326.312 55324.758 15.7868595   0.17142834               0,5 bright star core and wings,circular halo                                  
