mjdmean mag dmag band
55276.65625 15.672602653503418 0.042648449540138245 1
55276.65625 15.205309867858887 0.09491714835166931 2
55468.3359375 15.694746017456055 0.05500846356153488 1
55468.26953125 15.459957122802734 0.14380806684494019 2
56740.04296875 15.630573272705078 0.042567603290081024 1
56740.04296875 15.507219314575195 0.1406560242176056 2
56931.6875 15.57588005065918 0.03952759504318237 1
56931.6875 15.615254402160645 0.17016921937465668 2
57103.1875 15.633777618408203 0.040320031344890594 1
57103.1875 15.302616119384766 0.11089759320020676 2
57296.015625 15.68494701385498 0.04756331443786621 1
57296.015625 15.375601768493652 0.1269262433052063 2
57460.28125 15.54126262664795 0.0358843170106411 1
57460.31640625 15.468693733215332 0.1245432198047638 2
57660.58984375 15.56842041015625 0.03805728256702423 1
57660.5234375 15.270636558532715 0.11599518358707428 2
57823.5 15.531782150268555 0.04140494391322136 1
57823.5 15.379846572875977 0.14123223721981049 2
58024.74609375 15.58446216583252 0.039794594049453735 1
58024.74609375 15.204607009887695 0.11084111779928207 2
58182.19140625 15.709144592285156 0.045289501547813416 1
58182.19140625 15.61030101776123 0.16298723220825195 2
58390.56640625 15.68591594696045 0.04600178450345993 1
58390.56640625 15.14710521697998 0.11749785393476486 2
58546.4140625 15.572531700134277 0.03881213441491127 1
58546.4140625 15.223373413085938 0.11761406064033508 2
58755.98828125 15.642489433288574 0.04528101533651352 1
58756.1171875 15.286653518676758 0.13634435832500458 2
58912.078125 15.701315879821777 0.03936481103301048 1
58912.01171875 15.363862991333008 0.11823230236768723 2
59120.20703125 15.60840892791748 0.040767498314380646 1
59120.20703125 15.305997848510742 0.13209876418113708 2
