mjdmean mag dmag band
55380.15625 16.16451644897461 0.06116919219493866 1
55380.15625 15.50542163848877 0.13919168710708618 2
55557.98046875 16.253454208374023 0.07932836562395096 1
55557.98046875 15.594669342041016 0.15404613316059113 2
56655.67578125 16.234405517578125 0.0786796435713768 1
56843.6953125 16.299562454223633 0.07260047644376755 1
56843.6953125 15.779651641845703 0.1767628788948059 2
57021.1875 16.35360336303711 0.08095145970582962 1
57207.83984375 16.022125244140625 0.05621924623847008 1
57207.83984375 15.632220268249512 0.15651912987232208 2
57381.79296875 16.207195281982422 0.07348918914794922 1
57381.79296875 15.577384948730469 0.16627545654773712 2
57572.53125 16.23293113708496 0.07786493748426437 1
57572.53125 15.43160629272461 0.15432825684547424 2
57740.9921875 16.27778434753418 0.07182531803846359 1
57740.9921875 15.636785507202148 0.16480933129787445 2
57936.61328125 16.292444229125977 0.08404149115085602 1
58101.62890625 16.315811157226562 0.07879005372524261 1
58302.44140625 16.192476272583008 0.07013484090566635 1
58465.12890625 16.350400924682617 0.07836280763149261 1
58465.12890625 15.398308753967285 0.13632835447788239 2
58667.92578125 15.332225799560547 0.1819148063659668 2
58829.4765625 16.13511848449707 0.07310117781162262 1
58829.4765625 15.400826454162598 0.14473415911197662 2
59032.11328125 16.300445556640625 0.08570174127817154 1
59032.11328125 15.894044876098633 0.3086041212081909 2
59193.67578125 15.502215385437012 0.16178040206432343 2
