mjdmean mag dmag band
55348.5703125 16.929195404052734 0.12780728936195374 1
55538.3046875 16.783809661865234 0.14135746657848358 1
56812.05078125 16.798391342163086 0.12366308271884918 1
57002.1953125 16.854225158691406 0.1497194916009903 1
57170.83203125 16.93254852294922 0.1480516940355301 1
57170.8984375 15.974963188171387 0.2647019028663635 2
57365.16796875 16.7938232421875 0.1368274688720703 1
57365.16796875 16.024988174438477 0.27806127071380615 2
57531.22265625 16.646522521972656 0.11169818788766861 1
57531.22265625 16.39188575744629 0.3730073571205139 2
57729.36328125 16.699146270751953 0.11861743777990341 1
57729.36328125 15.977035522460938 0.2595488429069519 2
57891.734375 17.00768280029297 0.1442212611436844 1
57891.734375 15.771685600280762 0.19160424172878265 2
58094.984375 16.83587074279785 0.1345069259405136 1
58256.1484375 16.74991226196289 0.11416045576334 1
58256.1484375 15.62242603302002 0.1766631305217743 2
58460.61328125 16.554718017578125 0.12397735565900803 1
58617.7890625 16.68992805480957 0.11677580326795578 1
58824.99609375 17.143102645874023 0.21340888738632202 1
58983.36328125 16.69475555419922 0.11644728481769562 1
58983.36328125 15.977450370788574 0.2663770914077759 2
59190.4375 16.725521087646484 0.09367559850215912 1
