|source_label|target_dist|         x|        y|      flux|          dx|          dy|     dflux|        qf|     rchi2|  fracflux|   fluxlbs|  dfluxlbs|     fwhm|  spread_model| dspread_model|   fluxiso|          xiso|          yiso|          sky|       ra|      dec|coadd_id|band|          unwise_detid|  nm|primary|flags_unwise|flags_info|epoch|forward|   mjdmin|   mjdmax|  mjdmean|       mag|        dmag|flags_unwise_bits|flags_unwise_descr|flags_info_bits|flags_info_descr|
|        char|      float|     float|    float|     float|       float|       float|     float|     float|     float|     float|     float|     float|    float|         float|         float|     float|         float|         float|        float|    float|    float|    char|long|                  char|long|   long|        long|      long| long|   long|    float|    float|    float|     float|       float|             char|              char|           char|            char|
|            |     arcsec|       pix|      pix|      nMgy|         pix|         pix|      nMgy|          |          |          |      nMgy|      nMgy|      pix|              |              |          |              |              |         nMgy|      deg|      deg|        |    |                      |    |       |            |          |     |       |        d|        d|        d|       mag|         mag|                 |                  |               |                |
|        null|       null|      null|     null|      null|        null|        null|      null|      null|      null|      null|      null|      null|     null|          null|          null|      null|          null|          null|         null|     null|     null|    null|null|                  null|null|   null|        null|      null| null|   null|     null|     null|     null|      null|        null|             null|              null|           null|            null|
         1.12   40.351475  118.75688  379.4788   68.15816    0.4263774   0.41284853   16.86531        1.0  0.4783287  0.5936997  68.527885  17.203064 2.4940054   -0.004135072    0.009135128   68.13524     0.05941072     0.01750008     0.8743906 245.86987  31.11097 2452p318    1 2452p318w1o0002060e000   17       1           32          0     0       1 55239.008  55243.31  55241.16  17.916204   0.27435252                 5      circular halo                                  
         1.13   41.271313   137.3141 382.09665  336.58316   0.08970446   0.08737124  17.629236        1.0  0.9270711  0.9784019   334.7966  17.971607  2.488885   0.0010467172   0.0019686443   336.5842   0.0072537153    0.006926242    0.62765783 245.86763 31.125153 2452p318    1 2452p318w1o0002367e000   16       1            0          0     0       1 55239.008  55243.31  55241.16  16.182268  0.056919776                                                                       
         1.14   45.444305  142.72408  359.6035  102.99081   0.28149706   0.27190948   16.78154  0.9999999 0.60639626 0.95297253   91.09727  17.122309 2.4937434    0.014272571    0.006397406   102.9911   -0.009982419    -0.01056487    0.45821607 245.88773 31.129194 2452p318    1 2452p318w1o0002471e000   17       1            0          0     0       1 55239.008  55243.31  55241.16  17.468004   0.17850326                                                                       
         1.15     46.5102  128.80745 386.25974  86.404495   0.33855763   0.32651332  16.908083        1.0  0.6141618 0.59697175   86.89053   17.24801 2.4902463  -0.0071935058    0.007385225   86.41254    -0.04324292    -0.04975728     0.4425218 245.86388 31.118671 2452p318    1 2452p318w1o0042195e000   17       1            0          0     0       1 55239.008  55243.31  55241.16  17.658659    0.2152385                                                                       
         1.16   47.052643 116.412384 358.18597  139.46593    0.2093704    0.1986371  16.726673        1.0  0.7381239  0.5710077   140.4853  17.053825  2.491228   0.0013999939   0.0044330796  139.50441   -0.033707455    0.019647095     1.2148422 245.88885 31.109093 2452p318    1 2452p318w1o0042127e000   17       1           32          0     0       1 55239.008  55243.31  55241.16   17.13883   0.13084619                 5      circular halo                                  
         1.17    47.72331  146.59006 367.10385  139.86621   0.20749387    0.1997344   16.81231  0.9999999 0.27213386 0.89476234  132.68484  17.158298 2.4899094   0.0027427673    0.004480315  139.86508   -0.015989142    0.003796493     0.6531868 245.88104 31.132177 2452p318    1 2452p318w1o0002533e000   17       1            0          0     0       1 55239.008  55243.31  55241.16  17.135717   0.13114262                                                                       
         1.18   51.647137  126.66342    387.94  376.86264   0.07774571  0.074775174  17.239891  0.9999999 0.42721778  0.9583726  376.52905  17.586227  2.488791 -0.00046992302   0.0017167019  376.85535    -0.00597165  -0.0022841217    0.59284186 245.86237  31.11704 2452p318    1 2452p318w1o0002199e000   16       1           32          0     0       1 55239.008  55243.31  55241.16  16.059542  0.049702607                 5      circular halo                                  
         1.19   52.191235 111.921906  361.8999   183.3766   0.15446353    0.1500999   16.45295        1.0  0.2944627  0.9158185  184.01845   16.77853  2.486385  0.00055491924   0.0033573315  183.37059  -0.0032885873   -0.001140027     1.3309665 245.88553 31.105679 2452p318    1 2452p318w1o0001935e000   18       1           32          0     0       1 55239.008  55243.31  55241.16   16.84164  0.097677335                 5      circular halo                                  
         1.20    55.88038  115.21194  383.9238  115.38005   0.25108248    0.2420727  16.801685        1.0 0.49036154  0.7754686  114.63689  17.129587 2.4874017   0.0036424994   0.0054779244  115.37997   -0.009051592   -0.008335179      1.009168 245.86589 31.108278 2452p318    1 2452p318w1o0042122e000   17       1           32          0     0       1 55239.008  55243.31  55241.16  17.344673   0.15923727                 5      circular halo                                  
         1.21   58.058804  144.10074 354.21747  100.72038   0.28954408    0.2812553  16.900854 0.99999994 0.36909443  0.9645088   92.46177  17.239584 2.4884973  -0.0011997819    0.006232096  100.68819   -0.029307825    -0.02037852     0.2934479 245.89253 31.130222 2452p318    1 2452p318w1o0002490e000   17       1            0          0     0       1 55239.008  55243.31  55241.16  17.492207   0.18392569                                                                       
         1.22   59.480125  118.46205  388.0284  85.206345    0.3403837   0.33390367  16.890846        1.0 0.52085114 0.90206707   84.11028  17.222103 2.4895716    0.011244237   0.0077125365   85.20922    0.012793573   0.0035083373    0.90718013 245.86224 31.110777 2452p318    1 2452p318w1o0002061e000   17       1           32          0     0       1 55239.008  55243.31  55241.16   17.67382   0.21811819                 5      circular halo                                  
         1.23   63.128635  113.15019 353.11215  114.47814   0.24986233    0.2425445  16.581484        1.0 0.48931497 0.77189267   106.1022  16.908386 2.4871223  -0.0011890531   0.0054400517  114.48283   -0.042344827    -0.02650134     1.3595289 245.89337  31.10658 2452p318    1 2452p318w1o0001952e000   18       1           32          0     0       1 55239.008  55243.31  55241.16  17.353193   0.15837634                 5      circular halo                                  
         1.24   63.670914 112.851746 385.57175   174.0037   0.16665533   0.16169268  16.885035        1.0 0.31667066  0.8934428   171.9435  17.215776   2.49259    0.002640307   0.0035870126  174.00877    0.014091388   -0.028257415     1.0716717 245.86441 31.106483 2452p318    1 2452p318w1o0001953e000   17       1           32          0     0       1 55239.008  55243.31  55241.16  16.898603   0.10569069                 5      circular halo                                  
          2.1  0.46050543  129.52461  369.2701    439.284   0.25258645   0.23995493  60.422894        1.0 0.57046056  0.7493379  448.93845  61.891544  2.741449  -0.0038875341    0.005288076   439.1508    0.012815221     0.06862349    -6.7971644 245.87903 31.119152 2452p318    2 2452p318w2o0032215e000   16       1            0          0     0       1 55238.875  55243.31 55241.094  15.893137   0.15029413                                                                       
          2.2   12.876038  128.97293 374.01935  2473.4836  0.045168553  0.043280676  62.087624        1.0  0.5620171   0.953653  2479.9592   63.58674 2.7362807  -0.0009948611   0.0009939026   2473.447 -0.00086120795   0.0027021512    -6.3374386  245.8748  31.11875 2452p318    2 2452p318w2o0002049e000   17       1            0          0     0       1 55238.875  55243.31 55241.094  14.016727  0.027259113                                                                       
          2.3  14.1870365  126.28877 365.22247  238.69368   0.46376893   0.44502217    60.1009  0.9999999  0.8437147  0.6085807  266.69485   61.53613 2.7397442    0.009775639     0.00995942  239.11624      0.3680059     0.19550784    -6.3436513 245.88263 31.116665 2452p318    2 2452p318w2o0043737e000   17       1            0          0     0       1 55238.875  55243.31 55241.094  16.555397   0.27938604                                                                       
          2.4   18.402426   122.9235 371.11777   7994.345  0.014545738  0.013775938   66.51039        1.0  3.0406966   0.991323   7998.892   68.04738 2.7369654 -0.00056129694  0.00033829678  7994.4756   -0.002395488   0.0036421218    -5.8607492 245.87735 31.114119 2452p318    2 2452p318w2o0001950e000   18       1            0          0     0       1 55238.875  55243.31 55241.094  12.743043  0.009033167                                                                       
          2.5    20.84172 125.914665 376.09543  204.96729   0.52473116   0.50564194  58.364685        1.0 0.50069106 0.35658017  203.79755  59.817524 2.7368138  -0.0056649446     0.01117424  205.17836    0.017632646   -0.121057816     -5.765909 245.87292 31.116423 2452p318    2 2452p318w2o0043730e000   18       1            0          0     0       1 55238.875  55243.31 55241.094  16.720789    0.3179524                                                                       
          2.6   21.010836  124.60332 363.38895  238.87428   0.45825598    0.4361077  59.232483        1.0 0.39686546  0.6752365  251.77377  60.689175  2.742678    0.000731349    0.009417669   239.4834     0.11685961      0.2861205     -5.838595 245.88426  31.11537 2452p318    2 2452p318w2o0001987e000   18       1            0          0     0       1 55238.875  55243.31 55241.094  16.554577    0.2749555                                                                       
          2.7   26.560366 119.725136  369.0296  392.52606   0.27922854    0.2665055   59.81228        1.0 0.48110324 0.41440073   393.8689  61.242622 2.7378092  -0.0014075041   0.0059497035  392.50876  -0.0040585604   -0.016041983     -5.538113  245.8792 31.111666 2452p318    2 2452p318w2o0043695e000   17       1            0          0     0       1 55238.875  55243.31 55241.094   16.01533   0.16674078                                                                       
          2.8   31.870342 123.278435  379.2088  311.56717   0.34749863   0.33401656  58.914913        1.0  0.6356635  0.7840591   317.6105  60.374187 2.7394662   -0.001888752    0.007268645  311.53217    -0.12968045     0.03820275     -5.213251 245.87013 31.114422 2452p318    2 2452p318w2o0001951e000   18       1            0          0     0       1 55238.875  55243.31 55241.094   16.26612   0.20780505                                                                       
          2.9    31.89081  118.44153 373.21118  159.02026    0.6779087   0.64469445  58.415302  1.0000001 0.80417275 0.37768075  162.74721  59.836105  2.740536    0.009949625    0.014506403  159.07092     0.04262077   -0.018596988    -5.0577035 245.87547 31.110703 2452p318    2 2452p318w2o0052812e000   18       1            0          0     0       1 55238.875  55243.31 55241.094  16.996368   0.41838896                                                                       
         2.10     33.7994  125.99622 381.17154  229.95566    0.4819303   0.45608127  59.779617        1.0 0.55901766 0.77414715  229.10052  61.232292 2.7374225   -0.003447771    0.010120672  230.04997   -0.034764256    -0.36113334     -5.236463  245.8684 31.116505 2452p318    2 2452p318w2o0032199e000   17       1            0          0     0       1 55238.875  55243.31 55241.094   16.59589   0.28887874                                                                       
         2.11   39.287388  119.19119  359.3352  1129.8809  0.096779145    0.0919004   59.34283        1.0  0.8072019  0.9799254  1130.7428   60.77939  2.740522   -0.004709065   0.0020272715  1129.9017   -0.004649712  -0.0048348475     -4.647701 245.88785  31.11122 2452p318    2 2452p318w2o0001890e000   18       1            0          0     0       1 55238.875  55243.31 55241.094  14.867418   0.05707676                                                                       
         2.12   40.819805  137.03844 382.07288  410.32913   0.27779797   0.26405695  61.629765        1.0  0.6904001  0.9813043  416.78018  63.097095 2.7365103   0.0065138936    0.005927324  410.32602   0.0004024415   0.0019415651    -4.1178517 245.86765  31.12494 2452p318    2 2452p318w2o0002171e000   16       1            0          0     0       1 55238.875  55243.31 55241.094  15.967169   0.16431627                                                                       
